Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcAZTY	2191	380	0	12	0	1799	117	0	0	0
bcAPMH	2190	319	7	37	0	1827	115	0	0	0
bcAPPN	2189	392	3	13	0	1781	125	0	0	0
bcATKE	2186	361	3	24	1	1797	106	0	0	0
bcBEBW	2185	391	7	11	0	1776	113	0	0	0
bcBSHT	2178	378	8	16	0	1776	121	0	0	0
bcBIWD	2169	493	7	21	0	1648	136	0	0	0
bcAVBD	2168	432	8	24	1	1703	147	0	0	0
bcBYWU	2168	377	10	30	0	1751	126	0	0	0
bcBZBC	2167	341	8	9	2	1807	122	0	0	0
bcBLEK	2159	396	5	27	0	1731	130	0	0	0
bcBQQN	2159	412	1	31	0	1715	126	0	0	0
bcAFMT	2156	339	10	27	1	1779	107	0	0	0
bcAMMI	2155	366	3	23	0	1763	109	0	0	0
bcBSEA	2153	361	1	15	0	1776	96	0	0	0
bcBCUR	2149	478	4	12	0	1655	141	0	0	0
bcBYVU	2145	378	5	29	0	1733	126	0	0	0
bcBMUU	2143	342	3	8	0	1790	120	0	0	0
bcASOF	2142	370	18	42	0	1712	117	0	0	0
bcBNEK	2136	302	1	6	0	1827	91	0	0	0
bcBVZX	2132	244	1	21	0	1866	98	0	0	0
bcAECG	2132	249	7	9	1	1866	90	0	0	0
bcBADS	2129	345	10	25	0	1749	111	0	0	0
bcBQBW	2128	349	8	11	0	1760	149	0	0	0
bcBAGQ	2127	357	10	24	0	1736	114	0	0	0
bcAPPG	2125	397	10	20	0	1698	121	0	0	0
bcAKRQ	2123	38	2	10	0	2073	23	0	0	0
bcAORP	2116	410	1	5	0	1700	122	0	0	0
bcBUBC	2114	375	18	20	0	1701	95	0	0	0
bcAITW	2110	404	12	15	1	1678	114	0	0	0
bcARHD	2109	445	19	5	1	1639	135	0	0	0
bcANHY	2106	447	3	25	0	1631	129	0	0	0
bcBHOU	2106	395	2	15	0	1694	121	0	0	0
bcBYPE	2104	444	2	9	0	1649	127	0	0	0
bcAOSV	2103	428	13	10	1	1651	132	0	0	0
bcBMZT	2103	458	6	15	1	1623	124	0	0	0
bcBIGJ	2102	395	17	18	0	1672	142	0	0	0
bcARHV	2102	313	3	13	0	1773	101	0	0	0
bcADKT	2101	372	11	17	0	1701	124	0	0	0
bcAEEI	2097	388	2	20	0	1687	96	0	0	0
bcBMVP	2096	450	2	36	0	1608	127	0	0	0
bcABTI	2096	394	8	22	0	1672	115	0	0	0
bcAHSA	2095	354	13	15	0	1713	124	0	0	0
bcBVJW	2094	397	4	19	0	1674	136	0	0	0
bcAURA	2093	492	3	16	0	1582	139	0	0	0
bcBFSW	2090	306	1	13	0	1770	108	0	0	0
bcBPQV	2089	420	2	12	1	1654	116	0	0	0
bcBPMS	2088	357	21	4	0	1706	128	0	0	0
bcBQJX	2087	332	6	27	0	1722	105	0	0	0
bcAQVR	2086	417	7	9	0	1653	120	0	0	0
bcAVOW	2084	430	4	26	1	1623	139	0	0	0
bcAIFC	2080	624	18	4	0	1434	164	0	0	0
bcACNU	2076	350	3	7	0	1716	106	0	0	0
bcBKDA	2072	374	2	12	0	1684	119	0	0	0
bcBYWV	2071	304	6	27	0	1734	113	0	0	0
bcBHSJ	2070	402	8	29	0	1631	133	0	0	0
bcAXJU	2063	374	3	10	0	1676	136	0	0	0
bcBQWE	2062	331	4	17	1	1709	131	0	0	0
bcBJYJ	2060	385	6	39	0	1630	109	0	0	0
bcALXR	2059	398	26	47	0	1588	148	0	0	0
