Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcARQI	2297	941	34	61	3	1258	256	0	0	0
bcAFOU	2291	873	8	143	2	1265	262	0	0	0
bcASTE	2287	792	9	194	4	1288	241	0	0	0
bcBQUB	2286	933	3	106	3	1241	284	0	0	0
bcASNQ	2270	926	17	94	1	1232	278	0	0	0
bcBNDQ	2267	805	12	100	8	1342	233	0	0	0
bcBYEZ	2265	952	3	91	6	1213	263	0	0	0
bcBSFU	2262	749	7	69	2	1435	258	0	0	0
bcAHLP	2258	921	5	114	4	1214	295	0	0	0
bcACJP	2255	965	6	87	1	1196	272	0	0	0
bcBAAJ	2254	791	4	118	5	1336	218	0	0	0
bcBYBM	2254	825	20	87	1	1321	253	0	0	0
bcAPOK	2253	962	6	94	2	1189	261	0	0	0
bcABKT	2250	1025	10	97	0	1118	313	0	0	0
bcBJUS	2250	1005	3	67	5	1170	272	0	0	0
bcAAYP	2248	899	6	170	1	1172	285	0	0	0
bcBFIK	2247	833	2	99	1	1312	335	0	0	0
bcAJHE	2245	825	4	104	3	1309	315	0	0	0
bcAJKR	2240	884	11	163	0	1182	270	0	0	0
bcBNCM	2240	822	6	109	0	1303	242	0	0	0
bcADGA	2238	966	8	93	0	1171	320	0	0	0
bcBHJA	2232	933	7	82	2	1208	316	0	0	0
bcCBPN	2230	904	8	89	0	1229	269	0	0	0
bcBAJS	2229	805	5	94	0	1325	259	0	0	0
bcADMJ	2228	916	1	88	3	1220	266	0	0	0
bcBDYI	2226	957	13	89	3	1164	255	0	0	0
bcBBYD	2217	933	6	138	3	1137	278	0	0	0
bcAMSD	2216	992	14	114	0	1096	291	0	0	0
bcBUIK	2215	1006	5	59	4	1141	241	0	0	0
bcAADF	2212	967	5	108	0	1132	251	0	0	0
bcBAEC	2210	783	4	132	5	1286	242	0	0	0
bcARXS	2208	620	6	80	3	1499	242	0	0	0
bcBUMO	2204	994	4	69	4	1133	242	0	0	0
bcAVRZ	2200	953	8	82	4	1153	334	0	0	0
bcAQRJ	2198	861	6	126	2	1203	275	0	0	0
bcAAFL	2197	732	3	60	2	1400	207	0	0	0
bcARPZ	2195	805	12	131	4	1243	249	0	0	0
bcBGEM	2192	865	4	133	0	1190	263	0	0	0
bcAZTY	2191	907	6	108	4	1166	265	0	0	0
bcAPMH	2190	856	7	123	3	1201	249	0	0	0
bcAPPN	2189	922	23	110	6	1128	268	0	0	0
bcATKE	2186	844	12	124	5	1201	242	0	0	0
bcBEBW	2185	818	28	123	8	1208	238	0	0	0
bcBSHT	2178	896	7	106	4	1165	232	0	0	0
bcBIWD	2169	871	9	100	2	1187	284	0	0	0
bcAVBD	2168	918	6	112	3	1129	318	0	0	0
bcBYWU	2169	814	15	105	1	1234	267	0	0	0
bcBZBC	2167	917	4	89	3	1154	277	0	0	0
bcBLEK	2159	837	6	72	3	1241	267	0	0	0
bcBQQN	2159	857	10	88	1	1203	259	0	0	0
bcAFMT	2156	888	7	89	0	1172	249	0	0	0
bcAMMI	2155	1015	20	90	3	1027	291	0	0	0
bcBSEA	2153	843	9	116	1	1184	250	0	0	0
bcBCUR	2149	780	6	112	1	1250	233	0	0	0
bcBYVU	2145	836	21	140	1	1147	304	0	0	0
bcBMUU	2143	806	11	134	3	1189	264	0	0	0
bcASOF	2142	894	35	112	4	1097	252	0	0	0
bcBNEK	2136	911	8	78	1	1138	221	0	0	0
bcBVZX	2132	934	3	60	2	1133	242	0	0	0
bcAECG	2132	919	10	146	0	1057	268	0	0	0
bcBADS	2129	853	18	66	4	1188	243	0	0	0
bcBQBW	2128	814	12	97	2	1203	303	0	0	0
bcBAGQ	2127	846	13	72	4	1192	239	0	0	0
bcAPPG	2125	878	4	107	7	1129	250	0	0	0
bcAKRQ	2123	768	7	26	1	1321	271	0	0	0
bcAORP	2116	966	2	98	5	1045	269	0	0	0
bcBUBC	2115	861	4	68	4	1178	272	0	0	0
bcAITW	2110	757	12	82	3	1256	262	0	0	0
bcARHD	2109	786	28	79	3	1213	228	0	0	0
bcANHY	2106	794	9	89	3	1211	243	0	0	0
bcBHOU	2107	887	3	74	1	1142	306	0	0	0
bcBYPE	2104	851	10	87	1	1155	280	0	0	0
bcAOSV	2103	841	4	49	2	1207	228	0	0	0
bcBMZT	2103	761	5	80	6	1251	206	0	0	0
bcBIGJ	2102	854	8	151	0	1089	277	0	0	0
bcARHV	2102	860	1	97	1	1143	238	0	0	0
bcADKT	2101	883	3	95	6	1114	275	0	0	0
bcAEEI	2097	889	10	46	2	1150	258	0	0	0
bcBMVP	2096	792	3	96	2	1203	264	0	0	0
bcABTI	2096	796	6	80	2	1212	212	0	0	0
bcAHSA	2096	815	4	84	2	1191	261	0	0	0
bcBVJW	2094	844	3	116	17	1114	255	0	0	0
bcAURA	2093	808	8	109	4	1164	245	0	0	0
bcBFSW	2090	991	7	135	1	956	364	0	0	0
bcBPQV	2089	670	1	55	2	1361	205	0	0	0
bcBPMS	2088	834	4	103	1	1146	241	0	0	0
bcBQJX	2088	861	18	77	2	1130	273	0	0	0
bcAQVR	2086	864	6	69	2	1145	253	0	0	0
bcAVOW	2084	835	4	90	4	1151	285	0	0	0
bcAIFC	2080	665	7	95	2	1311	218	0	0	0
bcACNU	2076	882	2	122	7	1063	244	0	0	0
bcBKDA	2072	835	8	158	3	1068	248	0	0	0
bcBYWV	2071	912	9	120	5	1025	254	0	0	0
bcBHSJ	2070	805	14	101	1	1149	254	0	0	0
bcAXJU	2063	912	4	124	3	1020	291	0	0	0
bcBQWE	2062	763	5	108	11	1175	224	0	0	0
bcBJYJ	2060	762	4	126	4	1164	241	0	0	0
bcALXR	2059	703	20	92	0	1244	272	0	0	0
