Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcAVGS	2914	1379	5	18	0	1512	834	0	0	0
bcBQXL	2909	1117	8	27	4	1753	700	0	0	0
bcBMKR	2854	1305	8	40	1	1500	1076	0	0	0
bcAHZZ	2843	1266	7	52	2	1516	851	0	0	0
bcBSBD	2835	1233	8	57	2	1535	944	0	0	0
bcACUX	2785	122	7	10	0	2646	99	0	0	0
bcBPKK	2782	1221	15	34	0	1512	931	0	0	0
bcAYTT	2750	583	4	15	2	2146	350	0	0	0
bcBVYO	2726	87	7	9	0	2623	80	0	0	0
bcAOOW	2665	1137	11	36	3	1478	873	0	0	0
bcBTPG	2663	1065	10	35	1	1552	852	0	0	0
bcBNHU	2655	967	16	33	0	1639	759	0	0	0
bcBKEZ	2654	989	16	44	4	1601	698	0	0	0
bcAYYE	2623	1302	7	36	1	1277	1004	0	0	0
bcAONK	2612	71	3	11	1	2526	55	0	0	0
bcAGDO	2580	1115	14	49	0	1402	869	0	0	0
bcBQQO	2580	1019	11	44	3	1503	813	0	0	0
bcBNBK	2537	1077	3	41	0	1416	774	0	0	0
bcBTTN	2528	68	6	9	0	2445	67	0	0	0
bcBBXJ	2515	65	3	8	0	2439	62	0	0	0
bcAFXY	2506	117	4	18	0	2367	100	0	0	0
bcAEWV	2504	125	9	13	2	2355	108	0	0	0
bcBWTB	2494	954	11	44	3	1482	760	0	0	0
bcAHNS	2471	927	16	28	4	1496	724	0	0	0
bcAWOE	2456	1074	6	40	1	1335	852	0	0	0
bcAEEY	2454	46	1	7	0	2400	47	0	0	0
bcBQJB	2445	1118	14	44	0	1269	889	0	0	0
bcASSA	2427	527	3	19	0	1878	413	0	0	0
bcAICX	2418	348	13	23	0	2034	281	0	0	0
bcBARN	2414	503	7	23	0	1881	412	0	0	0
bcAZTH	2407	663	5	20	1	1718	453	0	0	0
bcBZWX	2406	1229	10	49	1	1117	969	0	0	0
bcAZIC	2396	993	9	30	0	1364	752	0	0	0
bcBNRU	2394	103	5	11	1	2274	86	0	0	0
bcBUQN	2384	81	4	7	1	2291	71	0	0	0
bcBCIV	2382	1116	15	44	0	1207	837	0	0	0
bcBMQM	2376	1116	10	43	2	1205	840	0	0	0
bcBSGQ	2375	956	17	32	2	1368	774	0	0	0
bcACAX	2373	693	22	14	2	1642	531	0	0	0
bcBMZF	2351	973	14	37	1	1326	710	0	0	0
bcBOFD	2338	998	12	37	5	1286	780	0	0	0
bcBTIL	2330	97	6	7	0	2220	88	0	0	0
bcBTYB	2321	306	8	17	0	1990	253	0	0	0
bcBMCN	2318	999	5	37	1	1276	764	0	0	0
bcAMTG	2308	1177	10	47	0	1074	887	0	0	0
bcAIDL	2308	1154	12	30	1	1111	805	0	0	0
bcBVQX	2302	871	3	23	3	1402	605	0	0	0
bcBKZS	2301	1047	17	41	0	1196	776	0	0	0
bcAREC	2273	1002	14	47	1	1209	776	0	0	0
bcAMFY	2264	139	5	7	0	2113	118	0	0	0
bcBYPE	2248	1007	7	17	1	1216	807	0	0	0
bcAQMV	2241	887	8	33	2	1311	732	0	0	0
bcBRJO	2226	481	8	27	0	1710	401	0	0	0
bcBDEM	2220	891	7	31	1	1290	685	0	0	0
bcASIL	2187	1061	10	46	0	1070	790	0	0	0
bcCAIS	2172	993	7	29	1	1142	773	0	0	0
bcAOZX	2172	960	14	40	0	1158	747	0	0	0
bcBSQM	2163	948	11	43	1	1160	746	0	0	0
bcBQOL	2153	56	2	9	1	2085	47	0	0	0
bcAFCI	2153	685	6	36	0	1426	531	0	0	0
bcAWUA	2150	99	3	13	1	2034	83	0	0	0
bcAOOK	2146	94	1	5	0	2046	83	0	0	0
bcAGAH	2145	134	7	13	1	1990	119	0	0	0
bcBRHG	2145	924	7	33	2	1179	763	0	0	0
bcCAAW	2144	63	6	8	0	2067	54	0	0	0
bcBWHS	2139	883	7	35	1	1213	709	0	0	0
bcBYCK	2136	285	7	12	0	1832	219	0	0	0
bcBGRA	2132	767	7	42	0	1316	446	0	0	0
bcBEEG	2119	411	5	20	0	1683	300	0	0	0
bcBBSH	2116	875	13	29	4	1195	663	0	0	0
bcAFUT	2109	699	9	25	1	1375	551	0	0	0
bcBFIH	2086	1021	8	40	0	1017	837	0	0	0
bcAUUD	2084	737	12	40	0	1295	591	0	0	0
bcARLF	2074	250	4	16	0	1804	157	0	0	0
bcAAYZ	2058	944	17	18	2	1077	753	0	0	0
bcBJEF	2056	111	1	10	0	1934	84	0	0	0
bcARHO	2055	136	5	9	0	1905	109	0	0	0
bcARWE	2054	969	13	38	6	1028	770	0	0	0
bcACFX	2029	85	3	7	0	1934	72	0	0	0
bcAAFZ	2022	594	6	29	2	1391	472	0	0	0
bcBBIS	2009	55	1	6	0	1947	52	0	0	0
bcBTLN	2004	823	16	33	3	1129	626	0	0	0
bcBICU	1992	521	10	20	2	1439	451	0	0	0
bcBCKU	1992	894	11	45	0	1042	689	0	0	0
bcALBR	1986	123	2	18	0	1843	96	0	0	0
bcAWUN	1974	840	2	32	0	1100	626	0	0	0
bcAPOK	1971	44	1	6	1	1919	37	0	0	0
bcBAHH	1964	744	9	13	1	1197	554	0	0	0
bcBEDN	1961	750	10	33	1	1167	580	0	0	0
bcAXOX	1948	872	5	25	0	1046	673	0	0	0
bcABXC	1944	828	8	25	0	1083	611	0	0	0
bcAIBU	1938	887	16	35	1	999	669	0	0	0
bcAQKE	1935	53	5	12	0	1865	54	0	0	0
bcAZTV	1918	684	9	22	1	1202	538	0	0	0
bcBUKK	1915	704	8	17	0	1186	418	0	0	0
bcAKEM	1913	662	11	36	0	1204	558	0	0	0
bcBNGZ	1912	839	10	38	1	1024	714	0	0	0
bcACBP	1910	741	9	24	4	1132	509	0	0	0
bcAZIG	1904	744	7	23	0	1130	587	0	0	0
bcBSPS	1902	734	8	36	0	1124	562	0	0	0
bcANCF	1900	857	12	22	1	1008	666	0	0	0
bcBVBE	1896	46	7	8	1	1834	50	0	0	0
bcAOAY	1886	841	8	33	0	1004	611	0	0	0
bcAVYO	1884	860	8	21	2	993	634	0	0	0
bcATWE	1881	873	6	28	0	974	660	0	0	0
bcCBSG	1881	774	11	37	0	1059	613	0	0	0
bcBNQZ	1881	816	10	35	2	1018	573	0	0	0
bcASVF	1866	828	10	27	0	1001	637	0	0	0
bcBZXL	1861	548	5	27	1	1280	431	0	0	0
bcADEB	1858	704	10	34	1	1109	552	0	0	0
bcAGWV	1854	624	4	23	0	1203	471	0	0	0
bcCCEU	1853	819	9	26	1	998	623	0	0	0
bcASXD	1851	778	5	7	0	1061	488	0	0	0
bcBUVE	1837	929	7	31	2	868	726	0	0	0
bcBADZ	1832	35	1	7	0	1789	32	0	0	0
bcBJWS	1830	85	2	15	2	1726	72	0	0	0
bcAVSK	1822	806	11	31	2	972	612	0	0	0
bcACGZ	1815	736	6	26	1	1046	564	0	0	0
bcBAHK	1810	842	2	30	2	934	624	0	0	0
bcBKFE	1807	830	16	28	0	933	659	0	0	0
bcAFRD	1804	112	4	6	0	1682	72	0	0	0
bcASBR	1796	680	10	20	1	1085	537	0	0	0
bcBDJW	1791	775	7	26	1	982	589	0	0	0
bcALQE	1790	66	5	8	0	1711	61	0	0	0
bcARQQ	1786	235	3	7	0	1541	194	0	0	0
bcAOAA	1781	832	16	34	0	899	690	0	0	0
bcAXHA	1781	622	5	37	0	1117	506	0	0	0
bcBAHY	1772	644	5	6	0	1117	377	0	0	0
bcBGGX	1764	668	2	17	0	1077	484	0	0	0
bcBWQB	1751	388	7	21	0	1335	316	0	0	0
bcBJQM	1732	825	15	18	1	873	701	0	0	0
bcABTI	1725	754	4	29	1	937	542	0	0	0
bcBUOB	1725	61	3	6	0	1655	56	0	0	0
bcBYQH	1723	776	7	22	0	918	597	0	0	0
bcBLWB	1718	272	7	15	0	1424	230	0	0	0
bcBNKL	1713	718	19	14	0	962	584	0	0	0
bcBCDD	1704	595	11	22	2	1074	382	0	0	0
bcACPS	1702	71	6	14	0	1611	59	0	0	0
bcBMZV	1695	191	6	15	1	1482	155	0	0	0
bcAQKD	1691	185	5	10	1	1490	159	0	0	0
bcBCMB	1690	782	11	25	0	872	626	0	0	0
bcAQPU	1688	702	7	37	3	939	531	0	0	0
bcAVTN	1664	673	9	31	3	948	539	0	0	0
bcAJMF	1662	94	1	10	0	1557	71	0	0	0
bcBTUW	1658	20	3	4	0	1631	23	0	0	0
bcBFPF	1656	751	6	29	0	870	589	0	0	0
bcBQEW	1643	690	12	32	1	908	550	0	0	0
bcBKLH	1641	643	7	18	0	973	486	0	0	0
bcADWC	1640	240	3	11	0	1386	204	0	0	0
bcBUTG	1639	215	4	12	0	1408	172	0	0	0
bcABFM	1639	653	2	6	0	978	393	0	0	0
bcBQDZ	1636	683	6	27	3	917	526	0	0	0
bcCADQ	1631	729	7	24	1	870	528	0	0	0
bcBLDP	1627	711	6	11	0	899	546	0	0	0
bcBHIU	1620	47	1	5	0	1567	41	0	0	0
bcAMMI	1613	689	7	35	2	880	490	0	0	0
bcASVT	1612	754	6	26	0	826	598	0	0	0
bcATQK	1612	719	5	35	4	849	547	0	0	0
bcASFE	1611	659	10	22	1	919	455	0	0	0
bcADEA	1609	205	4	9	0	1391	176	0	0	0
bcBNRW	1607	494	5	23	0	1085	364	0	0	0
bcAEYS	1606	521	12	22	1	1050	381	0	0	0
bcAXJO	1602	623	8	19	2	950	484	0	0	0
bcCBHH	1598	707	9	17	1	864	550	0	0	0
bcARCP	1595	74	1	6	0	1514	59	0	0	0
bcATQL	1593	686	13	30	1	863	526	0	0	0
bcAHRK	1587	562	7	16	1	1001	419	0	0	0
bcBNLW	1585	579	10	21	2	973	459	0	0	0
bcALFF	1584	47	0	9	0	1528	39	0	0	0
bcAJIT	1583	760	7	22	0	794	589	0	0	0
bcBAFQ	1583	186	8	15	1	1373	158	0	0	0
bcBASV	1582	574	7	22	3	976	432	0	0	0
bcAQGE	1571	72	3	12	0	1484	57	0	0	0
bcBJOO	1571	622	5	14	1	929	505	0	0	0
